Fetch exploded BOM (including sub-assemblies),جلب BOM انفجرت (بما في ذلك المجالس الفرعية),
Fetched only {0} available serial numbers.,تم جلب {0} أرقام تسلسلية متاحة فقط.,
Fetching Error,خطأ في الجلب,
Fetching Material Requests...,جاري جلب طلبات المواد...,
Fetching Sales Orders...,جلب طلبات المبيعات...,
Fetching exchange rates ...,جارٍ جلب أسعار الصرف...,
Fetching...,جارٍ الجلب...,
Field Mapping,رسم الخرائط الميدانية,
Field in Bank Transaction,الحقل في المعاملات المصرفية,
Fields will be copied over only at time of creation.,سيتم نسخ الحقول فقط في وقت الإنشاء.,
File does not belong to this Transaction Deletion Record,الملف لا ينتمي إلى سجل حذف المعاملات هذا,
File not found,لم يتم العثور على الملف,
File to Rename,إعادة تسمية الملف,
Filter Based On,عامل التصفية على أساس,
Filter Duration (Months),مدة الفلتر (شهور),
Filter Total Zero Qty,تصفية مجموع صفر الكمية,
Filter by Reference Date,تصفية حسب تاريخ المرجع,
Filter by invoice status,تصفية حسب حالة الفاتورة,
Filter on Invoice,تصفية على الفاتورة,
Filter on Payment,تصفية على الدفع,
Filters for Material Requests,فلاتر طلبات المواد,
Filters for Sales Orders,فلاتر أوامر البيع,
Filters missing,عوامل التصفية مفقودة,
Final BOM,قائمة المواد النهائية,
Final Product,المنتج النهائي,
Finance Book,كتاب المالية,
Finance Book Detail,كتاب المالية التفاصيل,
Finance Book Id,رقم دفتر تمويل,
Finance Books,كتب المالية,
Finance Manager,مدير مالي,
Financial Ratios,النسب المالية,
Financial Report Row,صف التقرير المالي,
Financial Report Template,نموذج تقرير مالي,
Financial Report Template {0} is disabled,نموذج التقرير المالي {0} معطل,
Financial Report Template {0} not found,لم يتم العثور على نموذج التقرير المالي {0},
Financial Reports,التقارير المالية,
Financial Services,الخدمات المالية,
Financial Statements,البيانات المالية,
Financial Year Begins On,تبدأ السنة المالية في,
Financial reports will be generated using GL Entry doctypes (should be enabled if Period Closing Voucher is not posted for all years sequentially or missing) ,سيتم إنشاء التقارير المالية باستخدام أنواع مستندات قيد دفتر الأستاذ العام (يجب تمكينه إذا لم يتم ترحيل سند إقفال الفترة لجميع السنوات بالتسلسل أو إذا كانت مفقودة) ,
Finish,إنهاء,
Finished Good,جيد جيد,
Finished Good BOM,قائمة مواد المنتج النهائي,
Finished Good Item,صنف المنتج النهائي,
Finished Good Item Code,انتهى رمز السلعة جيدة,
Finished Good Item Qty,كمية صنف المنتج النهائي,
Finished Good Item Quantity,كمية صنف المنتج النهائي,
Finished Good Item is not specified for service item {0},لم يتم تحديد صنف المنتج النهائي لصنف الخدمة {0},
Finished Good Item {0} Qty can not be zero,لا يمكن أن تكون كمية صنف المنتج النهائي {0} صفرًا,
Finished Good Item {0} must be a sub-contracted item,يجب أن يكون صنف المنتج النهائي {0} صنفًا متعاقدًا عليه من الباطن,
Finished Good Qty,كمية المنتج النهائي,
Finished Good Quantity ,كمية المنتج النهائي ,
Finished Good Serial / Batch,رقم تسلسلي / دفعة المنتج النهائي,
Finished Good UOM,وحدة قياس المنتج النهائي,
Finished Good {0} does not have a default BOM.,المنتج النهائي {0} ليس له قائمة مواد افتراضية.,
Finished Good {0} is disabled.,المنتج النهائي {0} معطل.,
Finished Good {0} must be a stock item.,يجب أن يكون المنتج النهائي {0} صنفًا مخزنيًا.,
Finished Good {0} must be a sub-contracted item.,يجب أن يكون المنتج النهائي {0} صنفًا متعاقدًا عليه من الباطن.,
Finished Goods,السلع تامة الصنع,
Finished Goods Based Operating Cost,تكلفة التشغيل القائمة على السلع الجاهزة,
Finished Goods Item,صنف السلع الجاهزة,
Finished Goods Reference,مرجع السلع الجاهزة,
Finished Goods Return,إرجاع المنتجات النهائية,
Finished Goods Value,قيمة السلع الجاهزة,
Finished Goods Warehouse,مستودع البضائع الجاهزة,
Finished Goods based Operating Cost,تكلفة التشغيل القائمة على السلع الجاهزة,
Finished Item {0} does not match with Work Order {1},الصنف النهائي {0} لا يتطابق مع أمر العمل {1},
First Delivery Date,تاريخ التسليم الأول,
First Email,البريد الإلكتروني الأول,
First Responded On,أجاب أولا على,
First Response Due,موعد الاستجابة الأولى,
First Response SLA Failed by {},فشل اتفاقية مستوى الخدمة للاستجابة الأولى بواسطة {},
First Response Time,وقت الاستجابة الأول,
First Response Time for Issues,وقت الاستجابة الأول للمشكلات,
First Response Time for Opportunity,وقت الاستجابة الأول للفرصة,
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}",النظام المالي إلزامي ، يرجى تعيين النظام المالي في الشركة {0},
Fiscal Year,السنة المالية,
Fiscal Year Company,السنة المالية للشركة,
Fiscal Year End Date should be one year after Fiscal Year Start Date,يجب أن يكون تاريخ انتهاء السنة المالية بعد سنة واحدة من تاريخ بدء السنة المالية,
Fiscal Year Start Date and Fiscal Year End Date are already set in Fiscal Year {0},تم تحديد تاريخ بداية السنة المالية و تاريخ نهاية السنة المالية للسنة المالية {0},
Fiscal Year {0} Does Not Exist,السنة المالية {0} غير موجودة,
Fiscal Year {0} does not exist,السنة المالية {0} غير موجودة,
Fiscal Year {0} is not available for Company {1}.,السنة المالية {0} غير متاحة للشركة {1}.,
Fiscal Year {0} is required,السنة المالية {0} مطلوبة,
Fix SABB Entry,إصلاح دخول SABB,
Fixed,ثابت,
Fixed Asset,الأصول الثابتة,
Fixed Asset Account,حساب الأصول الثابتة,
Fixed Asset Defaults,إعدادات الأصول الثابتة الافتراضية,
Fixed Asset Item must be a non-stock item.,يجب أن يكون بند الأصول الثابتة عنصرا غير مخزون.<br>\nFixed Asset Item must be a non-stock item.,
Fixed Asset Register,سجل الأصول الثابتة,
Fixed Asset Turnover Ratio,نسبة دوران الأصول الثابتة,
Fixed Asset item {0} cannot be used in BOMs.,لا يمكن استخدام عنصر الأصول الثابتة {0} في قوائم المواد.,
Fixed Assets,الاصول الثابتة,
Fixed Deposit Number,رقم الوديعة الثابتة,
Fixed Outgoing Email Account,حساب بريد إلكتروني صادر ثابت,
Fixed Rate,سعر الصرف الثابت,
Fixed Time,وقت ثابت,
Fleet Manager,مدير قافلة المركبات,
Floor,الطابق,
Floor Name,اسم الطابق,
Fluid Ounce (UK),أونصة سائلة (المملكة المتحدة),
Fluid Ounce (US),أونصة سائلة (الولايات المتحدة),
Focus on Item Group filter,التركيز على عامل تصفية مجموعة العناصر,
Focus on search input,ركز على إدخال البحث,
Folio no.,فوليو نو.,
Follow Calendar Months,اتبع التقويم الأشهر,
Following Material Requests have been raised automatically based on Item's re-order level,تم رفع طلبات المواد التالية تلقائيا بناء على مستوى اعادة الطلب للبنود,
Following fields are mandatory to create address:,الحقول التالية إلزامية لإنشاء العنوان:,
"Food, Beverage & Tobacco",الأغذية والمشروبات والتبغ,
Foot,قدم,
Foot Of Water,قدم ماء,
Foot/Minute,قدم/دقيقة,
Foot/Second,قدم/ثانية,
For,لأجل,
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.",لبنود حزمة المنتج والمستودع والرقم المتسلسل ورقم الدفعة ستأخذ بعين الاعتبار من جدول قائمة التغليف. اذا كان للمستودع ورقم الدفعة نفس البند من بنود التغليف لأي بند من حزمة المنتج. هذه القيم يمكن ادخالها في جدول البند الرئيسي. والقيم سيتم نسخها الى جدول قائمة التغليف.,
For All Stock Asset Accounts,لجميع حسابات أصول المخزون,
For Buying,للشراء,
For Company,للشركة,
For Default Supplier (Optional),للمورد الافتراضي (اختياري),
For Item,للصنف,
For Item {0} cannot be received more than {1} qty against the {2} {3},لا يمكن استلام أكثر من {1} كمية للصنف {0} مقابل {2} {3},
For Job Card,لبطاقة العمل,
For Operation,للعملية,
For Price List,لائحة الأسعار,
For Production,للإنتاج,
For Quantity (Manufactured Qty) is mandatory,للكمية (الكمية المصنعة) إلزامية,
For Raw Materials,للمواد الخام,
"For Return Invoices with Stock effect, '0' qty Items are not allowed. Following rows are affected: {0}",بالنسبة لفواتير الإرجاع ذات التأثير على المخزون، لا يُسمح بأصناف بكمية '0'. الصفوف التالية متأثرة: {0},
For Selling,للبيع,
For Supplier,للمورد,
For Warehouse,لمستودع,
For Work Order,لأمر العمل,
"For an item {0}, quantity must be negative number",بالنسبة إلى عنصر {0} ، يجب أن تكون الكمية رقمًا سالبًا,
"For an item {0}, quantity must be positive number",بالنسبة إلى عنصر {0} ، يجب أن تكون الكمية رقمًا موجبًا,
For dunning fee and interest,لرسوم المطالبة والفوائد,
"For e.g. 2012, 2012-13",على سبيل المثال 2012، 2013,
For how much spent = 1 Loyalty Point,كم تنفق = 1 نقطة الولاء,
For individual supplier,عن مورد فردي,
"For item <b>{0}</b>, only <b>{1}</b> asset have been created or linked to <b>{2}</b>. Please create or link <b>{3}</b> more asset with the respective document.",بالنسبة للصنف <b>{0}</b>، تم إنشاء أو ربط <b>{1}</b> أصل فقط بـ <b>{2}</b>. يرجى إنشاء أو ربط <b>{3}</b> أصل إضافي بالمستند المعني.,
"For item {0}, rate must be a positive number. To Allow negative rates, enable {1} in {2}",بالنسبة للصنف {0}، يجب أن يكون السعر رقمًا موجبًا. للسماح بالأسعار السالبة، قم بتمكين {1} في {2},
For operation {0}: Quantity ({1}) can not be greater than pending quantity({2}),بالنسبة للعملية {0}: لا يمكن أن تكون الكمية ({1}) أكبر من الكمية المعلقة ({2}),
For quantity {0} should not be greater than allowed quantity {1},بالنسبة للكمية {0} يجب ألا تكون أكبر من الكمية المسموح بها {1},
For reference,للرجوع إليها,
"For row {0} in {1}. To include {2} in Item rate, rows {3} must also be included",بالنسبة للصف {0} في {1}. لتضمين {2} في سعر الصنف، يجب أيضًا تضمين الصفوف {3},
For row {0}: Enter Planned Qty,بالنسبة إلى الصف {0}: أدخل الكمية المخطط لها,
For service item,لعنصر الخدمة,
For the 'Apply Rule On Other' condition the field {0} is mandatory,"بالنسبة لشرط ""تطبيق القاعدة على أخرى"" ، يكون الحقل {0} إلزاميًا",
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",لتسهيل الأمر على العملاء، يمكن استخدام هذه الرموز في تنسيقات الطباعة مثل الفواتير وأذونات التسليم,
"For the item {0}, the consumed quantity should be {1} according to the BOM {2}.",بالنسبة للصنف {0}، يجب أن تكون الكمية المستهلكة {1} وفقاً لقائمة المواد {2}.,
"For the new {0} to take effect, would you like to clear the current {1}?",لكي يسري مفعول {0} الجديد، هل ترغب في مسح {1} الحالي؟,Clear payment terms template and/or payment schedule when due date is changed
"For the {0}, no stock is available for the return in the warehouse {1}.",بالنسبة لـ {0}، لا يوجد مخزون متاح للإرجاع في المستودع {1}.,
"For the {0}, the quantity is required to make the return entry",بالنسبة لـ {0}، الكمية مطلوبة لإنشاء قيد الإرجاع,
Force-Fetch Subscription Updates,جلب تحديثات الاشتراك بالقوة,
Forecast,توقعات,
Forecast Demand,توقعات الطلب,
Foreign Trade Details,تفاصيل التجارة الخارجية,
Formula Based Criteria,معايير قائمة على الصيغة,
Forum Activity,نشاط المنتدى,
Forum Posts,مشاركات المنتدى,
Forum URL,رابط المنتدى,
Free Alongside Ship,تسليم بجانب السفينة,
Free Carrier,تسليم للناقل,
Free Item,بند مجاني,
Free Item Rate,سعر الصنف المجاني,
Free On Board,تسليم على ظهر السفينة,
Free item code is not selected,لم يتم تحديد رمز العنصر المجاني,
Free item not set in the pricing rule {0},عنصر حر غير مضبوط في قاعدة التسعير {0},
Freeze Stocks Older Than (Days),تجميد المخزونات أقدم من (أيام),
Freight and Forwarding Charges,رسوم الشحن,
Frequency To Collect Progress,تردد لتجميع التقدم,
Frequency of Depreciation (Months),تواتر او تكرار الاهلاك (أشهر),
Frequently Read Articles,اقرأ المقالات بشكل متكرر,
From BOM,من BOM,
From BOM No,من رقم BOM,
From Company,من شركة,
From Corrective Job Card,من بطاقة العمل التصحيحية,
From Currency,من العملة,
From Currency and To Currency cannot be same,"لا يمكن أن تكون ""من عملة"" و""إلى عملة"" متطابقتين",
From Customer,من العملاء,
From Date and To Date are Mandatory,من تاريخ وتاريخ إلزامي,
From Date and To Date are mandatory,تاريخ البدء وتاريخ الانتهاء إلزامي,
From Date and To Date are required,تاريخ البدء وتاريخ الانتهاء مطلوبان,
From Date and To Date lie in different Fiscal Year,من التاريخ والوقت تكمن في السنة المالية المختلفة,
From Date cannot be greater than To Date,"لا يمكن أن يكون ""من تاريخ"" أكبر من ""إلى تاريخ""",
From Date is mandatory,تاريخ البدء إلزامي,
From Date must be before To Date,يجب أن تكون من تاريخ إلى تاريخ قبل,
From Date should be within the Fiscal Year. Assuming From Date = {0},"يجب أن يكون ""من تاريخ"" ضمن السنة المالية. بافتراض ""من تاريخ"" = {0}",
From Date: {0} cannot be greater than To date: {1},تاريخ البدء: {0} لا يمكن أن يكون أكبر من تاريخ الانتهاء: {1},
From Datetime,من (التاريخ والوقت),
From Delivery Date,من تاريخ التسليم,
From Delivery Note,من اشعار التسليم,
From Doctype,من نوع المستند,
From Due Date,من تاريخ الاستحقاق,
From Employee,من الموظف,
From Employee is required while issuing Asset {0},يلزم إدخال بيانات الموظف عند إصدار الأصل {0},
From External Ecomm Platform,من منصة التجارة الإلكترونية الخارجية,
From Fiscal Year,من السنة المالية,
From Fiscal Year cannot be greater than To Fiscal Year,لا يمكن أن تكون قيمة السنة المالية من السنة المالية الحالية أكبر من قيمة السنة المالية المنتهية.,
From Folio No,من فوليو نو,
From Invoice Date,من تاريخ الفاتورة,
From No,من رقم,
From Package No.,من رقم الحزمة,
From Payment Date,من تاريخ الدفع,
From Posting Date,من تاريخ النشر,
From Range,من المدى,
From Range has to be less than To Range,"يجب أن يكون ""من النطاق"" أقل من ""إلى النطاق""",
From Reference Date,من تاريخ المرجع,
From Shareholder,من المساهم,
From Template,من القالب,
From Time,من وقت,
From Time ,من وقت ,
From Time Should Be Less Than To Time,من وقت يجب أن يكون أقل من الوقت,
From Value,من القيمة,
From Voucher Detail No,من رقم تفاصيل السند,
From Voucher No,من رقم السند,
From Voucher Type,من نوع السند,
From Warehouse,من المخزن,
From and To Dates are required.,مطلوب من وإلى التواريخ.,
From and To dates are required,تاريخ البدء وتاريخ الانتهاء مطلوبان,
From date cannot be greater than To date,"لا يمكن أن يكون ""من تاريخ"" أكبر من ""إلى تاريخ""",
From value must be less than to value in row {0},"يجب أن تكون ""من قيمة"" أقل من ""إلى قيمة"" في الصف {0}",
Frozen,مجمد,
Fuel Type,نوع الوقود,
Fuel UOM,وحدة قياس الوقود,
Fulfilled,استيفاء,
Fulfillment,استيفاء,
Fulfillment User,وفاء المستخدم,
Fulfilment Deadline,الموعد النهائي للوفاء,
Fulfilment Details,تفاصيل الاستيفاء,
Fulfilment Status,حالة الوفاء,
Fulfilment Terms,شروط الوفاء,
Fulfilment Terms and Conditions,شروط وأحكام الوفاء,
"Full Name, Email or Phone/Mobile of the user are mandatory to continue.",الاسم الكامل أو البريد الإلكتروني أو الهاتف/الجوال للمستخدم إلزامي للمتابعة.,
Full and Final Statement,الكشف الكامل والنهائي,
Fully Billed,وصفت تماما,
Fully Completed,يكتمل,
Fully Delivered,سلمت بالكامل,
Fully Depreciated,استهلكت بالكامل,
Fully Paid,مدفوع بالكامل,
Furlong,فرلنج,
Furniture and Fixtures,الأثاث والتجهيزات,
"Further accounts can be made under Groups, but entries can be made against non-Groups",يمكن إنشاء المزيد من الحسابات تحت المجموعة، لكن إدخالات القيود يمكن ان تكون فقط مقابل حسابات فردية و ليست مجموعة,
Further cost centers can be made under Groups but entries can be made against non-Groups,يمكن إنشاء مراكز تكلفة إضافية ضمن المجموعات ولكن يمكن إجراء الإدخالات مقابل غير المجموعات,
Further nodes can be only created under 'Group' type nodes,العقد الإضافية التي يمكن أن تنشأ إلا في ظل العقد نوع ' المجموعة ',
Future Payment Amount,مبلغ الدفع المستقبلي,
Future Payment Ref,الدفع في المستقبل المرجع,
Future Payments,المدفوعات المستقبلية,
Future date is not allowed,التاريخ المستقبلي غير مسموح به,
G - D,ز - د,
GL Balance,رصيد دفتر الأستاذ العام,
GL Entry,قيد دفتر الأستاذ العام,
GL Entry Processing Status,حالة معالجة قيد دفتر الأستاذ العام,
GL reposting index,فهرس إعادة ترحيل دفتر الأستاذ العام,
GS1,GS1,
GTIN,GTIN,
GTIN-14,GTIN-14,
Gain/Loss,الربح / الخسارة,
Gain/Loss Account on Asset Disposal,حساب الربح / الخسارة الخاص بالتخلص من الأصول,
Gain/Loss accumulated in foreign currency account. Accounts with '0' balance in either Base or Account currency,المكاسب/الخسائر المتراكمة في حساب العملة الأجنبية. الحسابات ذات الرصيد '0' إما بالعملة الأساسية أو بعملة الحساب,
Gain/Loss already booked,المكاسب/الخسائر المسجلة بالفعل,
Gain/Loss from Revaluation,المكاسب/الخسائر من إعادة التقييم,
Gain/Loss on Asset Disposal,الربح / الخسارة عند التخلص من الأصول,
Gallon (UK),جالون (المملكة المتحدة),
Gallon Dry (US),جالون جاف (الولايات المتحدة),
Gallon Liquid (US),جالون سائل (الولايات المتحدة),
Gamma,غاما,
Gantt Chart,مخطط جانت,
Gantt chart of all tasks.,مخطط جانت لجميع المهام.,
Gauss,جاوس,
General Ledger,دفتر الأستاذ العام,
General Ledger,دفتر الأستاذ العام,Warehouse
General Settings,الإعدادات العامة,
General and Payment Ledger Comparison,مقارنة دفتر الأستاذ العام ودفتر الأستاذ للمدفوعات,
General and Payment Ledger mismatch,عدم تطابق دفتر الأستاذ العام ودفتر الأستاذ للمدفوعات,
Generate Demand,توليد الطلب,
Generate Demo Data for Exploration,إنشاء بيانات عرض توضيحي للاستكشاف,
Generate E-Invoice,إنشاء فاتورة إلكترونية,
Generate Invoice At,إنشاء الفاتورة في,
Generate New Invoices Past Due Date,إنشاء فواتير جديدة تجاوز تاريخ الاستحقاق,
Generate Schedule,إنشاء جدول,
Generate Stock Closing Entry,إنشاء إدخال إقفال المخزون,
Generate To Delete List,إنشاء قائمة الحذف,
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.",إنشاء قسائم تعبئة للطرود المراد تسليمها. تُستخدم لإشعار رقم الطرد ومحتويات الطرد ووزنه.,
Generated,تم إنشاؤه,
Generating Preview,جارٍ إنشاء معاينة,
Get Actual Demand,احصل على الطلب الفعلي,
Get Advances Paid,الحصول على السلف المدفوعة,
Get Advances Received,الحصول على السلف المتلقاة,
Get Allocations,الحصول على التخصيصات,
Get Balance,عرض الرصيد,
Get Current Stock,الحصول على المخزون الحالي,
Get Customer Group Details,الحصول على تفاصيل مجموعة العملاء,
Get Delivery Schedule,احصل على جدول التسليم,
Get Entries,الحصول على مقالات,
Get Finished Goods,الحصول على السلع الجاهزة,
Get Finished Goods for Manufacture,الحصول على السلع الجاهزة للتصنيع,
Get Invoices,الحصول على الفواتير,
Get Invoices based on Filters,الحصول على الفواتير على أساس المرشحات,
Get Item Locations,الحصول على مواقع البند,
Get Items From,الحصول على البنود من,
Get Items for Purchase / Transfer,الحصول على أصناف للشراء / النقل,
Get Items for Purchase Only,الحصول على أصناف للشراء فقط,
Get Items from BOM,تنزيل الاصناف من BOM,
Get Items from Material Requests against this Supplier,الحصول على عناصر من طلبات المواد ضد هذا المورد,
Get Items from Product Bundle,الحصول على أصناف من حزمة المنتج,
Get Latest Query,احصل على آخر استفسار,
Get Material Request,الحصول على المواد طلب,
Get Material Requests,الحصول على طلبات المواد,
Get Outstanding Invoices,الحصول على فواتير معلقة,
Get Outstanding Orders,الحصول على الطلبات المستحقة,
Get Payment Entries,جلب قيود الدفع,
Get Payments from,احصل على المدفوعات من,
Get Raw Materials Cost from Consumption Entry,الحصول على تكلفة المواد الخام من قيد الاستهلاك,
Get Sales Orders,الحصول على أوامر البيع,
Get Scrap Items,الحصول على أصناف الخردة,
Get Started Sections,تبدأ الأقسام,
Get Stock,الحصول على المخزون,
Get Sub Assembly Items,الحصول على أصناف التجميع الفرعية,
Get Suppliers,الحصول على الموردين,
Get Suppliers By,الحصول على الموردين من قبل,
Get Timesheets,الحصول على جداول الدوام,
Get Unreconciled Entries,جلب القيود غير المسوّاة,
Get stops from,الحصول على المحطات من,
Getting Scrap Items,جارٍ الحصول على أصناف الخردة,
Gift Card,كرت هدية,
Give free item for every N quantity,إعطاء صنف مجاني لكل كمية N,
Global Defaults,افتراضيات العالمية,
Go back,العودة,
Goal and Procedure,الهدف والإجراءات,
Goals,الأهداف,
Goods,السلع,
Goods In Transit,البضائع في العبور,
Goods Transferred,نقل البضائع,
Goods are already received against the outward entry {0},تم استلام البضائع بالفعل مقابل الإدخال الخارجي {0},
Government,حكومة,
Grace Period,فترة سماح,
Graduate,التخرج,
Grain,حبة,
Grain/Cubic Foot,حبة/قدم مكعب,
Grain/Gallon (UK),حبة/جالون (المملكة المتحدة),
Grain/Gallon (US),حبة/جالون (الولايات المتحدة),
Gram,جرام,
Gram-Force,جرام-قوة,
Gram/Cubic Centimeter,جرام/سنتيمتر مكعب,
Gram/Cubic Meter,جرام/متر مكعب,
Gram/Cubic Millimeter,جرام/مليمتر مكعب,
Gram/Litre,جرام/لتر,
Grand Total,المجموع الإجمالي,
Grand Total (Company Currency),المجموع الكلي (العملات شركة),
Grand Total (Transaction Currency),الإجمالي الكلي (عملة المعاملة),
Grant Commission,منح عمولة,
Greater Than Amount,أكبر من المبلغ,
Greeting Message,رسالة ترحيب,
Greeting Subtitle,الترجمة التحية,
Greeting Title,عنوان الترحيب,
Greetings Section,قسم التحيات,
Grocery,البقالة,
Gross Margin,هامش الربح الإجمالي,
Gross Margin %,هامش الربح الإجمالي ٪,
Gross Profit,الربح الإجمالي,
Gross Profit / Loss,الربح الإجمالي / الخسارة,
Gross Profit Percent,نسبة الربح الإجمالي,
Gross Profit Ratio,نسبة الربح الإجمالي,
Gross Total,الإجمالي,
Gross Weight,الوزن الإجمالي,
Gross Weight UOM,الوزن الإجمالي UOM,
Gross and Net Profit Report,تقرير الربح الإجمالي والصافي,
Group By Customer,المجموعة حسب العميل,
Group By Supplier,المجموعة حسب المورد,
Group Name,اسم المجموعة,
Group Node,عقدة المجموعة,
Group Same Items,تجميع العناصر المتشابهة,
Group Warehouses cannot be used in transactions. Please change the value of {0},لا يمكن استخدام مستودعات المجموعة في المعاملات. يرجى تغيير قيمة {0},
Group by,المجموعة حسب,
Group by Material Request,تجميع حسب طلب المواد,
Group by Party,مجموعة حسب الحزب,
Group by Purchase Order,تجميع حسب أمر الشراء,
Group by Sales Order,التجميع حسب طلب المبيعات,
Group by Voucher,المجموعة بواسطة سند,
Group node warehouse is not allowed to select for transactions,لا يسمح مستودع عقدة مجموعة لتحديد للمعاملات,
Group same items,مادة نفس المجموعة,
Groups,مجموعات,
Growth View,عرض النمو,
H - F,ح - و,
HR Manager,مدير الموارد البشرية,
HR User,مستخدم الموارد البشرية,
Half-Yearly,نصف سنوية,
Hand,يد,
Handle Employee Advances,معالجة سلف الموظفين,
Hardware,المعدات,
Has Alternative Item,لديه صنف بديل,
Has Batch No,ودفعة واحدة لا,
Has Certificate ,لديه شهادة ,
Has Corrective Cost,لديه تكلفة تصحيحية,
Has Expiry Date,تاريخ انتهاء الصلاحية,
Has Item Scanned,تم مسح الصنف,
Has Operating Cost,تتضمن تكاليف التشغيل,
Has Print Format,لديها تنسيق طباعة,
Has Priority,له أولوية,
Has Serial No,يحتوي على رقم تسلسلي,
Has Subcontracted,تعاقد من الباطن,
Has Unit Price Items,لديه أصناف بسعر الوحدة,
Has Variants,يحتوي على متغيرات,
Have Default Naming Series for Batch ID?,هل لديك سلسلة تسمية افتراضية لمعرف الدفعة؟,
Head of Marketing and Sales,رئيس التسويق والمبيعات,
Heads (or groups) against which Accounting Entries are made and balances are maintained.,الرؤوس (أو المجموعات) التي يتم مقابلها إجراء قيود محاسبية والحفاظ على الأرصدة.,
Health Care,الرعاية الصحية,
Health Details,تفاصيل الحالة الصحية,
Hectare,هكتار,
Hectogram/Litre,هكتوجرام/لتر,
Hectometer,هكتومتر,
Hectopascal,هكتوباسكال,
Height (cm),الارتفاع (سم),
Help Results for,مساعدة نتائج,
Help Section,قسم المساعدة,
Help Text,نص المساعدة,
Helps you distribute the Budget/Target across months if you have seasonality in your business.,يساعدك على توزيع الميزانية/الهدف على الأشهر إذا كان لديك موسمية في عملك.,
Here are the error logs for the aforementioned failed depreciation entries: {0},فيما يلي سجلات الأخطاء لقيود الإهلاك الفاشلة المذكورة أعلاه: {0},
Here are the options to proceed:,فيما يلي خيارات المتابعة:,
"Here you can maintain family details like name and occupation of parent, spouse and children",هنا يمكنك إدراج تفاصيل عائلية مثل اسم العائلة ومهنة الزوج، الوالدين والأطفال,
"Here you can maintain height, weight, allergies, medical concerns etc",هنا يمكنك ادراج تفاصيل عن الحالة الصحية مثل الطول والوزن، الحساسية، المخاوف الطبية,
"Here, you can select a senior of this Employee. Based on this, Organization Chart will be populated.",هنا، يمكنك تحديد مسؤول أعلى لهذا الموظف. بناءً على ذلك، سيتم ملء المخطط التنظيمي.,
"Here, your weekly offs are pre-populated based on the previous selections. You can add more rows to also add public and national holidays individually.",هنا، يتم ملء إجازاتك الأسبوعية مسبقًا بناءً على التحديدات السابقة. يمكنك إضافة المزيد من الصفوف لإضافة العطلات الرسمية والوطنية بشكل فردي أيضًا.,
Hertz,هرتز,
"Hi,",مرحبًا،,
Hidden list maintaining the list of contacts linked to Shareholder,قائمة مخفية الحفاظ على قائمة من الاتصالات المرتبطة المساهم,
Hide Currency Symbol,إخفاء رمز العملة,
Hide Customer's Tax ID from Sales Transactions,إخفاء المعرّف الضريبي للعميل من معاملات المبيعات,
Hide If Zero,إخفاء إذا كان الصفر,
Hide Images,إخفاء الصور,
Hide Recent Orders,إخفاء الطلبات الحديثة,
Hide Unavailable Items,إخفاء العناصر غير المتوفرة,
Hide this line if amount is zero,أخفِ هذا السطر إذا كان المبلغ صفرًا,
Hide timesheets,إخفاء جداول الدوام,
"Higher the number, higher the priority",الرقم الأعلى له أولوية أكبر,
History In Company,الحركة التاريخيه في الشركة,
Hold,معلق,
Hold Invoice,عقد الفاتورة,
Hold Type,نوع التعليق,
Holiday,عطلة,
Holiday Date {0} added multiple times,تمت إضافة تاريخ العطلة {0} عدة مرات,
Holiday List,قائمة العطلات,
Holiday List Name,اسم قائمة العطلات,
Holidays,العطلات,
Horsepower,حصان بخاري,
Horsepower-Hours,حصان بخاري-ساعة,
Hour,ساعة,
Hour Rate,سعرالساعة,
Hours,ساعات,
Hours Spent,الساعات المنقضية,
How Pricing Rule is applied?,كيف يتم تطبيق قاعدة التسعير؟,
How frequently?,عدد المرات؟,
How often should Project and Company be updated based on Sales Transactions?,كم مرة يجب تحديث المشروع والشركة بناءً على معاملات المبيعات؟,
How often should Project be updated of Total Purchase Cost ?,كم مرة يجب تحديث المشروع بإجمالي تكلفة الشراء؟,
Hrs,ساعات,
Human Resources,الموارد البشرية,
Hundredweight (UK),قنطار (المملكة المتحدة),
Hundredweight (US),قنطار (الولايات المتحدة),
I - J,ط - ي,
I - K,ط - ك,
IBAN,رقم الحساب البنكي,
IMPORTANT: Create a backup before proceeding!,مهم: أنشئ نسخة احتياطية قبل المتابعة!,
IRS 1099,مصلحة الضرائب 1099,
ISBN,ISBN,
ISBN-10,ISBN-10,
ISBN-13,ISBN-13,
ISSN,ISSN,
Iches Of Water,بوصة ماء,
Id,هوية شخصية,
Identification of the package for the delivery (for print),تحديد حزمة لتسليم (للطباعة),
Identifying Decision Makers,تحديد صناع القرار,
Idle,خامل,
